acc,acc_std,bal_acc,bal_acc_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,macro_auc,macro_auc_std,Epithelioid_Precision,Epithelioid_Recall,Epithelioid_F1,Biphasic_Precision,Biphasic_Recall,Biphasic_F1,Sarcomatoid_Precision,Sarcomatoid_Recall,Sarcomatoid_F1,Encoder,MIL,Loss,Experiment
0.6689,0.1079,0.4205,0.0574,0.4202,0.0721,0.6673,0.0781,0.5609,0.1745,0.7966,0.7966,0.7966,0.4211,0.4706,0.4444,0.0000,0.0000,0.0000,Virchow2,TransMIL,Class-Balanced CE,Virchow2+TransMIL+CB_CE
0.6583,0.0208,0.3639,0.0267,0.3552,0.0196,0.6230,0.0192,0.6128,0.1050,0.7353,0.8475,0.7874,0.3636,0.2353,0.2857,0.0000,0.0000,0.0000,Virchow2,TransMIL,Inv-Freq Weighted CE,Virchow2+TransMIL+Weighted_CE
0.7196,0.0156,0.3333,0.0000,0.2789,0.0035,0.6023,0.0207,0.4432,0.0200,0.7195,1.0000,0.8369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ResNet50,ABMIL,Cross-Entropy,ResNet50+ABMIL+CE
0.7196,0.0156,0.3333,0.0000,0.2789,0.0035,0.6023,0.0207,0.5327,0.0809,0.7195,1.0000,0.8369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ResNet50,ABMIL,Focal Loss,ResNet50+ABMIL+Focal
0.5123,0.0315,0.2927,0.0500,0.2770,0.0396,0.5127,0.0340,0.5188,0.1064,0.6909,0.6441,0.6667,0.1538,0.2353,0.1860,0.0000,0.0000,0.0000,ResNet50,ABMIL,Class-Balanced CE,ResNet50+ABMIL+CB_CE
0.5481,0.0516,0.3334,0.1024,0.3461,0.1287,0.5396,0.0617,0.5025,0.0815,0.6774,0.7119,0.6942,0.1176,0.1176,0.1176,0.3333,0.1667,0.2222,ResNet50,ABMIL,Inv-Freq Weighted CE,ResNet50+ABMIL+Weighted_CE
0.6706,0.0056,0.3108,0.0077,0.2676,0.0013,0.5777,0.0121,0.5119,0.1558,0.7051,0.9322,0.8029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ResNet50,TransMIL,Cross-Entropy,ResNet50+TransMIL+CE
0.6839,0.0563,0.3846,0.0197,0.3732,0.0215,0.6466,0.0356,0.5431,0.0638,0.7612,0.8644,0.8095,0.3333,0.2941,0.3125,0.0000,0.0000,0.0000,ResNet50,TransMIL,Focal Loss,ResNet50+TransMIL+Focal
0.6349,0.0541,0.4068,0.0769,0.4027,0.1039,0.5902,0.0475,0.5981,0.0127,0.7101,0.8305,0.7656,0.1111,0.0588,0.0769,0.5000,0.3333,0.4000,ResNet50,TransMIL,Class-Balanced CE,ResNet50+TransMIL+CB_CE
0.6221,0.0320,0.2880,0.0085,0.2575,0.0065,0.5561,0.0258,0.4794,0.0188,0.6986,0.8644,0.7727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ResNet50,TransMIL,Inv-Freq Weighted CE,ResNet50+TransMIL+Weighted_CE
